primary_country,name,category,tags,is_international,langlinks,justification,status,person_id,validation
GB,Harry Styles,culture,GB,NO,73,73 Wikipedia langs | Primarily GB,new,,
GB,Idris Elba,culture,GB,NO,78,78 Wikipedia langs | Primarily GB,new,,
GB,J.K. Rowling,culture,"GB, international",YES,137,137 Wikipedia langs | Global recognition confirmed,new,,
GB,James Corden,culture,GB,NO,44,44 Wikipedia langs | Primarily GB,new,,
GB,KSI,culture,GB,NO,0,0 Wikipedia langs | Primarily GB,new,,
GB,Keir Starmer,politics,GB,NO,110,110 Wikipedia langs | Primarily GB,new,,
GB,King Charles III,politics,"GB, international",YES,159,159 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84615,
GB,Lewis Hamilton,sport,"GB, international",YES,95,95 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f9,
GB,Prince Harry,politics,GB,NO,84,84 Wikipedia langs | Primarily GB,new,,
GB,Prince William,politics,GB,NO,102,102 Wikipedia langs | Primarily GB,existing,69be73afd197e3104fe84617,
GB,Queen Elizabeth II,politics,"GB, international",YES,213,213 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84616,
GB,Richard Branson,business,GB,NO,66,66 Wikipedia langs | Primarily GB,new,,
GB,Rishi Sunak,politics,"GB, international",YES,126,126 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e810,
GB,Stormzy,culture,GB,NO,27,27 Wikipedia langs | Primarily GB,new,,
IE,Conor McGregor,sport,IE,NO,65,65 Wikipedia langs | Primarily IE,existing,69be73afd197e3104fe84609,
IL,Benjamin Netanyahu,politics,"IL, international",YES,131,131 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe8460f,
IN,Narendra Modi,politics,"IN, international",YES,147,147 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe8460e,
IN,Virat Kohli,sport,IN,NO,54,54 Wikipedia langs | Primarily IN,existing,69be73afd197e3104fe8460c,
IT,Andrea Bocelli,culture,IT,NO,90,90 Wikipedia langs | Primarily IT,new,,
IT,Beppe Grillo,politics,IT,NO,49,49 Wikipedia langs | Primarily IT,new,,
IT,Chiara Ferragni,culture,IT,NO,29,29 Wikipedia langs | Primarily IT,new,,
IT,Eros Ramazzotti,culture,IT,NO,65,65 Wikipedia langs | Primarily IT,new,,
IT,Federico Chiesa,sport,IT,NO,55,55 Wikipedia langs | Primarily IT,new,,
IT,Fedez,culture,IT,NO,25,25 Wikipedia langs | Primarily IT,new,,
IT,Francesco Totti,sport,IT,NO,115,115 Wikipedia langs | Primarily IT,new,,
IT,Gianluca Vacchi,culture,IT,NO,0,Not found on Wikipedia EN | Primarily IT,new,,
IT,Gianluigi Buffon,sport,IT,NO,99,99 Wikipedia langs | Primarily IT,new,,
IT,Gianluigi Donnarumma,sport,IT,NO,59,59 Wikipedia langs | Primarily IT,new,,
IT,Giorgia Meloni,politics,IT,NO,105,105 Wikipedia langs | Primarily IT,existing,69be73afd197e3104fe84611,
IT,Giorgio Armani,business,IT,NO,68,68 Wikipedia langs | Primarily IT,new,,
IT,Jannik Sinner,sport,IT,NO,58,58 Wikipedia langs | Primarily IT,new,,
IT,Khaby Lame,culture,IT,NO,43,43 Wikipedia langs | Primarily IT,new,,
IT,Laura Pausini,culture,IT,NO,68,68 Wikipedia langs | Primarily IT,new,,
IT,Marcell Jacobs,sport,IT,NO,38,38 Wikipedia langs | Primarily IT,new,,
IT,Massimo Bottura,culture,IT,NO,14,14 Wikipedia langs | Primarily IT,new,,
IT,Matteo Salvini,politics,IT,NO,58,58 Wikipedia langs | Primarily IT,new,,
IT,Monica Bellucci,culture,IT,NO,87,87 Wikipedia langs | Primarily IT,new,,
IT,Måneskin,culture,IT,NO,71,71 Wikipedia langs | Primarily IT,new,,
IT,Paolo Sorrentino,culture,IT,NO,46,46 Wikipedia langs | Primarily IT,new,,
IT,Roberto Benigni,culture,IT,NO,77,77 Wikipedia langs | Primarily IT,new,,
IT,Sergio Mattarella,politics,IT,NO,104,104 Wikipedia langs | Primarily IT,new,,
IT,Sophia Loren,culture,IT,NO,103,103 Wikipedia langs | Primarily IT,new,,
IT,Valentino Rossi,sport,IT,NO,61,61 Wikipedia langs | Primarily IT,new,,
JM,Usain Bolt,sport,"JM, international",YES,118,118 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84602,
JP,Naomi Osaka,sport,JP,NO,74,74 Wikipedia langs | Primarily JP,existing,69be73afd197e3104fe84606,
KR,BTS,culture,KR,NO,0,0 Wikipedia langs | Primarily KR,existing,69be73afd197e3104fe845e8,
MX,Alejandro González Iñárritu,culture,MX,NO,66,66 Wikipedia langs | Primarily MX,new,,
MX,Alfonso Cuarón,culture,MX,NO,67,67 Wikipedia langs | Primarily MX,new,,
MX,Andrés Manuel López Obrador,politics,MX,NO,72,72 Wikipedia langs | Primarily MX,new,,
MX,Belinda,culture,MX,NO,0,0 Wikipedia langs | Primarily MX,new,,
MX,Canelo Álvarez,sport,MX,NO,29,29 Wikipedia langs | Primarily MX,new,,
MX,Carlos Slim,business,MX,NO,73,73 Wikipedia langs | Primarily MX,new,,
MX,Carlos Vela,sport,MX,NO,57,57 Wikipedia langs | Primarily MX,new,,
MX,Checo Pérez,sport,MX,NO,55,55 Wikipedia langs | Primarily MX,new,,
MX,Christian Nodal,culture,MX,NO,37,37 Wikipedia langs | Primarily MX,new,,
MX,Claudia Sheinbaum,politics,MX,NO,83,83 Wikipedia langs | Primarily MX,new,,
MX,Diego Luna,culture,MX,NO,44,44 Wikipedia langs | Primarily MX,new,,
MX,Eugenio Derbez,culture,MX,NO,24,24 Wikipedia langs | Primarily MX,new,,
MX,Gael García Bernal,culture,MX,NO,55,55 Wikipedia langs | Primarily MX,new,,
MX,Guillermo Ochoa,sport,MX,NO,55,55 Wikipedia langs | Primarily MX,new,,
MX,Hirving Lozano,sport,MX,NO,45,45 Wikipedia langs | Primarily MX,new,,
MX,Juanpa Zurita,culture,MX,NO,4,4 Wikipedia langs | Primarily MX,new,,
MX,Kenia Os,culture,MX,NO,9,9 Wikipedia langs | Primarily MX,new,,
MX,Luis Miguel,culture,MX,NO,35,35 Wikipedia langs | Primarily MX,new,,
MX,Luisito Comunica,culture,MX,NO,5,5 Wikipedia langs | Primarily MX,new,,
MX,Peso Pluma,culture,MX,NO,10,10 Wikipedia langs | Primarily MX,new,,
MX,Ricardo Monreal,politics,MX,NO,4,4 Wikipedia langs | Primarily MX,new,,
MX,Salma Hayek,culture,MX,NO,89,89 Wikipedia langs | Primarily MX,new,,
MX,Thalía,culture,MX,NO,62,62 Wikipedia langs | Primarily MX,new,,
MX,Xóchitl Gálvez,politics,MX,NO,13,13 Wikipedia langs | Primarily MX,new,,
MX,Yalitza Aparicio,culture,MX,NO,31,31 Wikipedia langs | Primarily MX,new,,
NL,Max Verstappen,sport,NL,NO,91,91 Wikipedia langs | Primarily NL,existing,69be73afd197e3104fe84607,
NO,Erling Haaland,sport,"NO, international",YES,80,80 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845ff,
PK,Malala Yousafzai,culture,"PK, international",YES,127,127 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e818,
PR,Bad Bunny,culture,"PR, international",YES,59,59 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e7,
PT,Cristiano Ronaldo,sport,"PT, international",YES,179,179 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e809,
RS,Novak Djokovic,sport,"RS, international",YES,134,134 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845fc,
RU,Vladimir Putin,politics,"RU, international",YES,231,231 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e81a,
SE,Greta Thunberg,culture,"SE, international",YES,124,124 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e80a,
UA,Volodymyr Zelenskyy,politics,"UA, international",YES,172,172 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e81b,
US,Alexandria Ocasio-Cortez,politics,US,NO,74,74 Wikipedia langs | Primarily US,new,,
US,Angelina Jolie,culture,"US, international",YES,142,142 Wikipedia langs | Global recognition confirmed,existing,69bd7ff56b16a3aa0301ebbc,
US,Ariana Grande,culture,"US, international",YES,123,123 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e4,
US,Barack Obama,politics,"US, international",YES,254,254 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e80b,
US,Beyoncé,culture,"US, international",YES,154,154 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e807,
US,Bill Gates,business,"US, international",YES,178,178 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845d6,
US,Billie Eilish,culture,"US, international",YES,102,102 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e6,
US,Bob Iger,business,US,NO,35,35 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845db,
US,Brad Pitt,other,"US, international",YES,126,126 Wikipedia langs | Global recognition confirmed,existing,69bd7fe56b16a3aa0301ebba,
US,Bruno Mars,culture,"US, international",YES,97,97 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845ef,
US,Denzel Washington,culture,"US, international",YES,99,99 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f3,
US,Donald Trump,politics,"US, international",YES,258,258 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e80c,
US,Dwayne Johnson,culture,"US, international",YES,103,103 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f6,
US,Elon Musk,business,"US, international",YES,159,159 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e7ff,
US,Hillary Clinton,politics,"US, international",YES,146,146 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84619,
US,Jamie Dimon,business,US,NO,28,28 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845dc,
US,Jeff Bezos,business,"US, international",YES,99,99 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e813,
US,Jennifer Lawrence,culture,"US, international",YES,109,109 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f4,
US,Jensen Huang,business,US,NO,41,41 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845d9,
US,Joe Biden,politics,"US, international",YES,228,228 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e80d,
US,Kamala Harris,politics,"US, international",YES,161,161 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e80e,
US,Kanye West,culture,"US, international",YES,91,91 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e1,
US,Kevin Durant,sport,US,NO,70,70 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe84601,
US,Kim Kardashian,culture,US,NO,100,100 Wikipedia langs | Primarily US,new,,
US,Lady Gaga,culture,"US, international",YES,171,171 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845eb,
