name,category,primary_country,country_tags,is_international,langlinks_count,justification,validation,person_id
Drake,culture,CA,"CA, international",YES,33,33 Wikipedia languages | Known nationality: CA | International (20+ langs),,69be73afd197e3104fe845e3
Dua Lipa,culture,GB,"GB, AL, international",YES,99,99 Wikipedia languages | Known nationality: GB | International (20+ langs),,69be73afd197e3104fe845e9
Dwayne Johnson,culture,US,"US, international",YES,103,103 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845f6
Ed Sheeran,culture,GB,"GB, international",YES,87,87 Wikipedia languages | Known nationality: GB | International (20+ langs),,69be73afd197e3104fe845e5
Elon Musk,business,US,"US, ZA, international",YES,159,159 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e7ff
Emmanuel Macron,politics,FR,"FR, international",YES,165,165 Wikipedia languages | Known nationality: FR | International (20+ langs),,69136cb59a7ab512fd98e80f
Erling Haaland,sport,NO,"NO, international",YES,80,80 Wikipedia languages | Known nationality: NO | International (20+ langs),,69be73afd197e3104fe845ff
Giorgia Meloni,politics,IT,"IT, international",YES,105,105 Wikipedia languages | Known nationality: IT | International (20+ langs),,69be73afd197e3104fe84611
Greta Thunberg,culture,SE,"SE, international",YES,124,124 Wikipedia languages | Known nationality: SE | International (20+ langs),,69136cb59a7ab512fd98e80a
Hillary Clinton,politics,US,"US, international",YES,146,146 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe84619
Jack Ma,business,CN,"CN, international",YES,79,79 Wikipedia languages | Known nationality: CN | International (20+ langs),,69be73afd197e3104fe845e0
Jamie Dimon,business,US,"US, international",YES,28,28 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845dc
Javier Milei,politics,AR,"AR, international",YES,75,75 Wikipedia languages | Known nationality: AR | International (20+ langs),,69be73afd197e3104fe84614
Jeff Bezos,business,US,"US, international",YES,99,99 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e813
Jennifer Lawrence,culture,US,"US, international",YES,109,109 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845f4
